Año ,IED_Flujos,Exportaciones,Empleo,Educación,Salario_Diario,Innovación,Inseguridad_Robo,Inseguridad_Homicidio,Tipo_de_Cambio,Densidad_Carretera,Densidad_Población,CO2_Emisiones,PIB_Per_Cápita,INPC
1997,12145.60,9087.62,-,7.2,24.3,11.30,266.51,14.55,8.06,0.0521,47.44,3.6753,127570,33.28
1998,8373.50,9875.07,-,7.3,31.91,11.37,314.78,14.32,9.94,0.0530,48.76,3.8530,126739,39.47
1999,13960.32,10990.01,-,7.4,31.91,12.46,272.89,12.64,9.52,0.0550,49.48,3.6869,129165,44.34
2000,18248.69,12482.96,97.83,7.6,35.12,13.15,216.98,10.86,9.60,0.0552,50.58,3.8741,130875,48.31
2001,30057.18,11300.44,97.36,7.7,37.57,13.47,214.53,10.25,9.17,0.0565,51.28,3.8114,128083,50.43
2002,24099.21,11923.10,97.66,7.8,39.74,12.80,197.80,9.94,10.36,0.0576,51.95,3.8250,128206,53.31
2003,18249.97,13156.00,97.06,7.9,41.53,11.81,183.22,9.81,11.20,0.0596,52.61,3.9509,128738,55.43
2004,25015.57,13573.13,96.48,8.0,43.3,12.61,146.28,8.92,11.22,0.0595,53.27,3.9838,132564,58.31
2005,25795.82,16465.81,97.17,8.1,45.24,13.41,136.94,9.22,10.71,0.0625,54.78,4.0988,132941,60.25
2006,21232.54,17485.93,96.53,8.3,47.05,14.23,135.59,9.60,10.88,0.0628,55.44,4.1942,135895,62.69
2007,32393.33,19103.85,96.60,8.4,48.88,15.04,145.92,8.04,10.90,0.0647,56.17,4.2208,137796,65.05
2008,29502.46,16924.76,95.68,8.5,50.84,14.82,158.17,12.52,13.77,0.0668,56.96,4.1897,135176,69.30
2009,17849.95,19702.63,95.20,8.6,53.19,12.59,175.77,17.46,13.04,0.0693,57.73,4.0376,131233,71.77
2010,27189.28,22673.14,95.06,8.6,55.77,12.69,201.94,22.43,12.38,0.0705,58.45,4.1132,134992,74.93
2011,25632.52,24333.02,95.49,8.8,58.06,12.10,212.61,23.42,13.98,0.0720,59.15,4.1910,138892,77.79
2012,21769.32,26297.98,95.53,8.9,60.75,13.03,190.28,22.09,12.99,0.0744,59.85,4.2024,141530,80.57
2013,48354.42,27687.57,95.75,9.0,63.12,13.22,185.56,19.74,13.07,0.0755,59.49,4.0561,144112,83.77
2014,30351.25,31676.78,96.24,9.1,65.58,13.65,154.41,16.93,14.73,0.0790,60.17,3.8924,147277,87.19
2015,35943.75,29959.94,96.04,9.2,70.1,15.11,180.44,17.37,17.34,0.0798,60.86,3.9254,149433,89.05
2016,31188.98,31375.06,96.62,9.3,73.04,14.40,160.57,20.31,20.66,0.0837,61.57,3.8950,152275,92.04
2017,34017.05,33322.62,96.85,9.4,88.36,14.05,230.43,26.22,19.74,0.0890,62.28,3.8390,153236,98.27
2018,34100.43,35341.90,96.64,9.5,88.36,13.25,184.25,29.59,19.66,0.0902,63.11,3.6493,153134,99.91
2019,34577.16,36414.73,97.09,9.6,102.68,12.70,173.45,29.21,18.87,0.0892,63.90,3.5917,150233,105.93
2020,28205.89,41077.34,96.21,-,123.22,11.28,133.90,28.98,19.94,0.0897,64.59,-,142609,109.27
2021,31553.52,44914.78,96.49,-,141.7,-,127.13,27.89,20.52,0.0899,65.16,-,142772,117.31
2022,36215.37,46477.59,97.24,-,172.87,-,120.49,-,19.41,0.0901,65.60,-,146827,126.48
